ID,Major_Subject,Full_Prompt,Correct_Answer_1,Reward_1,Correct_Answer_2,Reward_2,Correct_Answer_3,Reward_3,Correct_Answer_4,Reward_4
61,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which tense does the sentence use?
I will move the boxes myself. (10 points)
2. What does the verbal irony in this text suggest?
While waiting for her search results, Marcy exclaimed, ""My Internet connection is as speedy as a snail!"" (1 points)
3. Which online professional profile is more formal? (50 points)
4. Would you find the word tangle on a dictionary page with the following guide words?
throttle - truth (100 points)

Respond ONLY with the number (1-4) and the final answer.",future tense,10,The Internet connection was very slow.,1,Sales professional with strong interpersonal skills.,50,no,100
62,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Select the organism in the same species as the plains zebra. (50 points)
2. What do these two changes have in common?
getting a haircut
shaking up salad dressing (100 points)
3. The movers lift the boxes at the same speed. Which box is lifted with a larger force? (10 points)
4. During this time, thermal energy was transferred from () to (). (1 points)

Respond ONLY with the number (1-4) and the final answer.",Equus quagga,50,Both are only physical changes.,100,a box holding 31 pounds,10,the surroundings . . . each salmon,1
63,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. What is the capital of Nebraska? (100 points)
2. What is the capital of Oregon? (1 points)
3. What can Brendan and Estelle trade to each get what they want? (10 points)
4. What is the capital of Montana? (50 points)

Respond ONLY with the number (1-4) and the final answer.",Lincoln,100,Salem,1,Brendan can trade his tomatoes for Estelle's broccoli.,10,Helena,50
64,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which logical fallacy is used in the text?
Don't be deceived by Beth Everett's articles on rural, blue-collar workers. Her husband is a fancy investment banker, so she can't possibly understand their situation. (1 points)
2. Which sentence states a fact? (50 points)
3. Read the following excerpt from a student essay. How can the writer best improve his or her grammar and mechanics?
Self-expression is important, therefore, you should be yourself no matter what other people think. People might express their inner selves through music, art, or writing, through foods they eat, cook, and serve others, or through their home decor. I choose to express myself through my clothing and my hairstyle. When I was eight years old, my mother taught me how to sew, now I make all of my own clothes. I also dye my hair crazy colors, like green or blue. Sometimes people stare at me and seem to wonder why I look the way I do. My answer is, ""I just gotta be me!"" (10 points)
4. What does the idiom in this text suggest?
Cell phones once cost an arm and a leg, but today the majority of people can afford them. (100 points)

Respond ONLY with the number (1-4) and the final answer.",guilt by association: a negative association intended to discredit someone or something,1,The Maya people believed that chocolate was the food of the gods.,50,by using semicolons correctly,10,Cell phones were once very expensive.,100
65,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. What information supports the conclusion that Kristen acquired this trait? (1 points)
2. Which is this organism's common name? (10 points)
3. What do these two changes have in common?
dry ice sublimating and becoming a gas
water evaporating from a lake (50 points)
4. Complete the statement.
Phosphorus trichloride is (). (100 points)

Respond ONLY with the number (1-4) and the final answer.",Kristen's scar was caused by an accident. She cut her arm when she fell off her bicycle.,1,Aldabra giant tortoise,10,Both are only physical changes.,50,a compound,100
66,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. What is the capital of South Dakota? (10 points)
2. What is the capital of Alaska? (100 points)
3. What is the name of the colony shown? (1 points)
4. What is the name of the colony shown? (50 points)

Respond ONLY with the number (1-4) and the final answer.",Pierre,10,Juneau,100,South Carolina,1,Massachusetts,50
67,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which closing is correct for a letter? (100 points)
2. Which text uses the word literally in its traditional sense? (1 points)
3. What is the source of the allusion in the sentence below?
When it comes to starting new businesses, Emilia seems to have a Midas touch. (10 points)
4. Which of the following contains a vague pronoun reference? (50 points)

Respond ONLY with the number (1-4) and the final answer.","See you soon,
Tammy",100,Eve adores the classic Renaissance style of the Rialto Bridge in Venice. She was surprised to learn that the bridge remains functional even though it is literally hundreds of years old.,1,Greek mythology,10,"As Eva entered the harbor, her sailboat bumped into the old wooden pier; she was relieved that it didn't sustain any damage.",50
68,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Does this passage describe the weather or the climate? (100 points)
2. Which egg has a lower temperature? (10 points)
3. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (50 points)
4. Which egg has more thermal energy? (1 points)

Respond ONLY with the number (1-4) and the final answer.",climate,100,the egg with less thermal energy,10,The magnitude of the magnetic force is smaller in Pair 2.,50,the hotter egg,1
69,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. Which of these cities is marked on the map? (100 points)
2. What is the capital of New York? (1 points)
3. In which region did the Republican candidate do the best? (10 points)
4. Which area voted for Lincoln? (50 points)

Respond ONLY with the number (1-4) and the final answer.",Chicago,100,Albany,1,the Northeast,10,the West,50
70,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Complete the sentence so that it uses personification.
The music box () the baby to sleep with its sweet melody. (100 points)
2. Which is a simple sentence? (10 points)
3. Choose the poem that uses alliteration. (50 points)
4. Which figure of speech is used in this text?
Good children listen to their parents. Great parents listen to their children. (1 points)

Respond ONLY with the number (1-4) and the final answer.",sang,100,Tomorrow the price of gas may go up.,10,"Snug in my easy chair,
I stirred the fire to flame.
Fantastically fair
The flickering fancies came.",50,chiasmus,1
71,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. What information supports the conclusion that Devin acquired this trait? (1 points)
2. In this food chain, the copepod is a primary consumer. Why? (100 points)
3. Does this passage describe the weather or the climate?
The air pressure has been rising throughout the day in Moscow, Russia. (10 points)
4. Based on this information, what is Digby's phenotype for the fur color trait? (50 points)

Respond ONLY with the number (1-4) and the final answer.",Devin's sister taught him how to do tricks with a jump rope.,1,It eats a producer.,100,weather,10,brown fur,50
72,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. What is the capital of Mississippi? (10 points)
2. Which country is highlighted? (1 points)
3. What is the capital of Vermont? (50 points)
4. What is the capital of Oregon? (100 points)

Respond ONLY with the number (1-4) and the final answer.",Jackson,10,Palau,1,Montpelier,50,Salem,100
73,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which logical fallacy is used in the text?
Did you really vote for Ken as class treasurer? Didn't you hear that his uncle was imprisoned for embezzling $1.5 million? (100 points)
2. Which tense does the sentence use?
Victor carefully spelled the word aloud. (50 points)
3. Would you find the word confuse on a dictionary page with the following guide words?
chair - civilian (10 points)
4. Which type of sentence is this?
We can watch the presidential debate, which will be broadcast at nine o'clock, or we can view the documentary about the greatest innovations of the twenty-first century. (1 points)

Respond ONLY with the number (1-4) and the final answer.",guilt by association: a negative association intended to discredit someone or something,100,past tense,50,no,10,compound-complex,1
74,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Is a skull a mineral? (1 points)
2. Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium. (100 points)
3. Is schist a mineral? (10 points)
4. What do these two changes have in common?
shaking up salad dressing
mixing sand and gravel (50 points)

Respond ONLY with the number (1-4) and the final answer.",no,1,to the right than to the left,100,no,10,Both are only physical changes.,50
75,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. Which ocean is highlighted? (100 points)
2. What is the name of the colony shown? (1 points)
3. What is the name of the colony shown? (50 points)
4. What is the capital of Washington? (10 points)

Respond ONLY with the number (1-4) and the final answer.",the Atlantic Ocean,100,Virginia,1,Delaware,50,Olympia,10
76,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. What does the verbal irony in this text suggest?
While waiting for her search results, Shawna exclaimed, ""My Internet connection is as speedy as a snail!"" (10 points)
2. Which correctly shows the title of a movie? (100 points)
3. Which term matches the picture? (1 points)
4. Which word would you find on a dictionary page with the following guide words?
meant - musician (50 points)

Respond ONLY with the number (1-4) and the final answer.",The Internet connection was very slow.,10,Winnie the Pooh and a Day for Eeyore,100,xylem,1,mischief,50
77,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Select the animal that has a backbone. (100 points)
2. Select the fish below. (50 points)
3. What information supports the conclusion that Dylan acquired this trait? (1 points)
4. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (10 points)

Respond ONLY with the number (1-4) and the final answer.",golden frog,100,clownfish,50,Dylan's scar was caused by an accident. He cut his arm when he fell off his bicycle.,1,The magnitude of the magnetic force is smaller in Pair 2.,10
78,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. Which country is highlighted? (100 points)
2. Which country is highlighted? (50 points)
3. What is the name of the colony shown? (10 points)
4. What can Connor and Vicky trade to each get what they want? (1 points)

Respond ONLY with the number (1-4) and the final answer.",Fiji,100,Samoa,50,Rhode Island,10,Connor can trade his tomatoes for Vicky's broccoli.,1
79,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which text uses the word disinterested in its traditional sense? (1 points)
2. Which word would you find on a dictionary page with the following guide words?
hair - holly (50 points)
3. What does the allusion in this text suggest?
A Good Samaritan identified only as Mr. Li captured the world's attention in May 2014 when he rushed across a street in China to catch a baby falling from a window. (10 points)
4. Which closing is correct for a letter? (100 points)

Respond ONLY with the number (1-4) and the final answer.","As a teacher of American history, Mr. Ferguson tries to remain disinterested when discussing controversial issues, giving equal attention and consideration to each major viewpoint.",1,history,50,The man generously helped a stranger.,10,"Your student,
Nora",100
80,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. During this time, thermal energy was transferred from () to (). (50 points)
2. Based on this information, what is Marlin's phenotype for the eye color trait? (10 points)
3. Is Leopardus wiedii made up of one cell? (100 points)
4. Select the elementary substance. (1 points)

Respond ONLY with the number (1-4) and the final answer.",the surroundings . . . each greenhouse,50,black eyes,10,no,100,cobalt (Co),1
81,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. Which country is highlighted? (10 points)
2. Which of these states is farthest west? (100 points)
3. What is the name of the colony shown? (50 points)
4. Which of these states is farthest east? (1 points)

Respond ONLY with the number (1-4) and the final answer.",Saint Lucia,10,Nebraska,100,South Carolina,50,Kentucky,1
82,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Would you find the word unite on a dictionary page with the following guide words?
umbrella - usual (1 points)
2. Which of the following contains a vague pronoun reference? (100 points)
3. Which of the following contains a vague pronoun reference? (10 points)
4. Which sentence states a fact? (50 points)

Respond ONLY with the number (1-4) and the final answer.",yes,1,"After Anna separated the walnuts from the shells, she placed them in a wooden bowl.",100,"Mark sent them the transcript from his old college, but he still wasn't granted an exemption from English 101.",10,Katharine Graham was the first female CEO of a Fortune 500 company.,50
83,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (1 points)
2. What is the probability that a rat produced by this cross will have dumbo ears? (50 points)
3. In this experiment, which were part of an experimental group? (10 points)
4. What is the probability that a Syrian hamster produced by this cross will be heterozygous for the fur length gene? (100 points)

Respond ONLY with the number (1-4) and the final answer.",The magnitude of the magnetic force is the same in both pairs.,1,0/4,50,the salted ice cubes,10,2/4,100
84,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. What is the name of the colony shown? (1 points)
2. What is the capital of Wisconsin? (50 points)
3. Based on the timeline, which statement is true? (100 points)
4. What is the capital of Oklahoma? (10 points)

Respond ONLY with the number (1-4) and the final answer.",Georgia,1,Madison,50,The Revolutionary War began 12 years after the end of the French and Indian War.,100,Oklahoma City,10
85,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. What does the allusion in this text suggest?
With the gutters clogged and water rising in the streets, Ling, who was watching the storm from her window, commented, ""We're going to need an ark to get out of here."" (1 points)
2. Which tense does the sentence use?
Ben and Maria will swim in the warm pool. (100 points)
3. Which closing is correct for a letter? (10 points)
4. What is the source of the allusion in the sentence below?
Red velvet cupcakes were Alexandra's Achilles's heel when she was trying to eat more healthily. (50 points)

Respond ONLY with the number (1-4) and the final answer.",Ling thinks the storm will cause major flooding.,1,future tense,100,"Love,
Jenna",10,Greek mythology,50
86,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Compare the average kinetic energies of the particles in each sample. Which sample has the higher temperature? (50 points)
2. Which type of force from the pliers takes the nail out of the wood? (1 points)
3. Which animal's skin is better adapted to hurt an attacking predator? (100 points)
4. Which fish's mouth is also adapted for tearing through meat? (10 points)

Respond ONLY with the number (1-4) and the final answer.",sample A,50,pull,1,blowfish,100,barracuda,10
87,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. Which country is highlighted? (1 points)
2. Which country is highlighted? (10 points)
3. What can Adriana and Jared trade to each get what they want? (100 points)
4. What is the name of the colony shown? (50 points)

Respond ONLY with the number (1-4) and the final answer.",Solomon Islands,1,Australia,10,Adriana can trade her tomatoes for Jared's broccoli.,100,Maryland,50
88,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which sentence states a fact? (10 points)
2. Which closing is correct for a letter? (1 points)
3. Which figure of speech is used in this text?
Ellie gazed at the ancient pug that seemed to sleep all day and noted, ""You're an energetic puppy!"" (50 points)
4. Which correctly shows the title of a movie? (100 points)

Respond ONLY with the number (1-4) and the final answer.","Tomatoes can be red, pink, yellow, purple, white, or black.",10,"Best wishes,
Sandra",1,verbal irony,50,The Red Balloon,100
89,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. What is the mass of a dinner fork? (100 points)
2. What information supports the conclusion that Julian acquired this trait? (50 points)
3. Select the part whose main job is to sort and package proteins and other substances in an animal cell. (10 points)
4. Is the following statement about our solar system true or false?
Jupiter's volume is more than 1,000 times that of Earth. (1 points)

Respond ONLY with the number (1-4) and the final answer.",70 grams,100,Julian's friend taught him how to fly a kite.,50,Golgi,10,true,1
90,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. Which of these states is farthest east? (50 points)
2. The city of Millersburg has been one of the world's biggest makers of cough drops for many years. But last month, Millersburg's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops? (1 points)
3. In which place would you be more likely to drive to see your neighbors? (100 points)
4. According to the passage, which statement is true? (10 points)

Respond ONLY with the number (1-4) and the final answer.",Rhode Island,50,The supply will probably go down.,1,a rural area,100,The House of Representatives is a part of Congress.,10
91,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which closing is correct for a letter? (1 points)
2. Which is a compound sentence? (50 points)
3. Which tense does the sentence use?
The astronomer uses the telescope only at night. (10 points)
4. Which closing is correct for a letter? (100 points)

Respond ONLY with the number (1-4) and the final answer.","Your friend,
Marcy",1,"We can pack our bags tonight, or we can wait until morning.",50,present tense,10,"Your student,
Carla",100
92,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Using only these supplies, which question can Dakota investigate with an experiment? (50 points)
2. Using only these supplies, which question can Addison investigate with an experiment? (100 points)
3. Is slate a mineral or a rock? (10 points)
4. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (1 points)

Respond ONLY with the number (1-4) and the final answer.",Does a rubber inner tube sled or a plastic sled go faster down a hill?,50,Does a rubber inner tube sled or a plastic sled go faster down a hill?,100,rock,10,The magnitude of the magnetic force is greater in Pair 2.,1
93,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. Which of these states is farthest north? (50 points)
2. What is the name of the colony shown? (100 points)
3. Which of these states is farthest north? (1 points)
4. Is there a surplus or a shortage of tennis rackets? (10 points)

Respond ONLY with the number (1-4) and the final answer.",Maryland,50,Connecticut,100,Montana,1,shortage,10
94,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which word would you find on a dictionary page with the following guide words?
amazed - authority (1 points)
2. Which of the following contains a vague pronoun reference? (100 points)
3. Which word would you find on a dictionary page with the following guide words?
copper - cure (10 points)
4. What does the verbal irony in this text suggest?
According to Mr. Carter's kids, his snoring is as quiet as a jackhammer. (50 points)

Respond ONLY with the number (1-4) and the final answer.",anything,1,"Molly looks almost identical to her twin sister Julia, but she has pierced ears.",100,crush,10,The snoring is loud.,50
95,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Will these magnets attract or repel each other? (100 points)
2. During this time, thermal energy was transferred from () to (). (10 points)
3. Which would smell the most? (1 points)
4. What information supports the conclusion that Philip inherited this trait? (50 points)

Respond ONLY with the number (1-4) and the final answer.",repel,100,the surroundings . . . each refrigerator,10,gasoline,1,Philip's parents have blond hair. They passed down this trait to Philip.,50
96,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. Which country is highlighted? (100 points)
2. What can Sharon and Ernesto trade to each get what they want? (1 points)
3. Which of these states is farthest south? (50 points)
4. Complete the sentence.
The Eighth Amendment places limits on how the government can () people. (10 points)

Respond ONLY with the number (1-4) and the final answer.",Vanuatu,100,Sharon can trade her tomatoes for Ernesto's broccoli.,1,Louisiana,50,punish,10
97,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. Which tense does the sentence use?
Dad will clean the baby's bottle. (10 points)
2. Answer the riddle.
I am green.
I need sunlight.
I grow out of the ground.
What am I? (50 points)
3. Which is a compound sentence? (100 points)
4. Which logical fallacy is used in the text?
How could Mia have anything insightful to say about foreign affairs? She grew up on a farm. (1 points)

Respond ONLY with the number (1-4) and the final answer.",future tense,10,a plant,50,"Paula finished her book, but she got two more from the library.",100,"ad hominem: an attack against the person making the argument, rather than the argument itself",1
98,natural science,"The following questions are all related to 'natural science'. Please choose one to answer:

1. Does this passage describe the weather or the climate?
Southern California usually gets strong winds in the fall and winter. People call them Santa Ana winds. (50 points)
2. How long is a hiking trail? (1 points)
3. Think about the magnetic force between the magnets in each pair. Which of the following statements is true? (100 points)
4. Is the following trait inherited or acquired?
Walter has a scar on his left knee. (10 points)

Respond ONLY with the number (1-4) and the final answer.",climate,50,6 kilometers,1,The magnitude of the magnetic force is greater in Pair 1.,100,acquired,10
99,social science,"The following questions are all related to 'social science'. Please choose one to answer:

1. Which sentence states a fact? (10 points)
2. What is the capital of Pennsylvania? (100 points)
3. Which of these states is farthest east? (1 points)
4. What is the capital of Tennessee? (50 points)

Respond ONLY with the number (1-4) and the final answer.",Kwanzaa celebrations last one week.,10,Harrisburg,100,Maine,1,Nashville,50
100,language science,"The following questions are all related to 'language science'. Please choose one to answer:

1. What kind of sentence is this?
I couldn't believe how talented those trapeze artists were! (100 points)
2. Which sentence is more formal? (50 points)
3. Which figure of speech is used in this text?
Houston, we've had a problem here.
—Astronaut Jack Swigert, after an oxygen tank exploded on board Apollo 13 (10 points)
4. Is the student text plagiarized? (1 points)

Respond ONLY with the number (1-4) and the final answer.",exclamatory,100,"On a hot day, mint lemonade is a perfect refreshment.",50,understatement,10,"No, it is not plagiarized.",1
